Nombre_Producto,Precio_Original,Precio_Rebaja
iPad Air 2 Apple WiFi 9.7 Pulg 16 GB Dorado,"$ 9,799.00",NA
iPad Mini 5 Wifi+Cellular Apple 7.9 Pulg 64 GB Gris Espacial,"$ 13,299.00",NA
Ipad Apple wifi+Celular 32 Gb Gris,"$ 11,299.00","$ 10,169.10"
iPad Apple WiFi 9.7 Pulg 32 GB Dorado,"$ 7,999.00",NA
iPad 7 Apple Wifi+Cellular 10.2 Pulg 32 GB Plata,"$ 11,299.00",NA
iPod Touch 32GB  6ta Generación Plateado Apple,"$ 5,499.00",NA
iPod Touch 32GB Gris Apple,"$ 5,499.00",NA
iPod Touch 32GB 6ta Generación Azul Apple,"$ 5,499.00",NA
Impresora de Etiquetas Zebra GC420DT Térmica Blanco,"$ 8,999.00",NA
Impresora de Etiquetas Zebra CG420TT Térmica Blanco,"$ 10,999.00",NA
Miniprinter Térmica 80mm Ghia GTP801 Negra,"$ 2,599.00",NA
Miniprinter Portátil Térmica 58mm Ghia GTPM581 Negra,"$ 2,999.00",NA
